DescriptionArea;Response
 Hallo, ich möchte erfahren, ob ich von  irgendeinen “Summenbericht” o.ä. bekommen kann, in dem für eine Zeit (z.B. Jahr) sehen kann wie viele Tage ich krank war, oder wie viele war ich in Mobile Arbeit usw.  Aktuell sehe ich keine andere Möglichkeit, als selber durch die Monate zu gehen und zählen… Viele Grüße!  ;"Chronos currently does not have an export function unfortunately, but we are working on it. As proof of your office days and days in mobile work, feel free to use your January statement from the following year. Here is a breakdown of exactly how many days you have worked remotely.

You can call up your statements in our self-service. Here you can find the link: Meine Bescheinigungen (vw.vwg)"
 Hi, Within this month I will be moving from my current place (Karlsruhe) to my new place (Maulbronn). Am I entitled to have holiday for it ? ;"You can take a vacation day for the move (only at intervals of 3 years or if the move was initiated by CARIAD).

Please make sure to upload a proof in the Servicehub (e.g. proof from the residents' registration office).

In Chronos you just put in the ""occasion-related paid time off"" for the day of the move.

You can find more information here:

Occasion-related paid time off - Cariad Net - Group Wiki (volkswagen-net.de)"
 Die Arbeitsorte vom stimmen nicht, weil dieser Monat autom. ausgefüllt wurde. Ich möchte die Tage gern korrigieren (lassen), damit es keine Unstimmigkeiten in der Abrechnung gibt.  ;HR Operations Task: manual override
 Hallo liebes HR Team, die Stundeneintragung hat sich geändert kleiner Zeichen mit unterstrich warum ist das so? ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hi everyone, as of I’ve started full time at (previous working student). For last year I had 10 days carried over, resulting in a full contingency of 40 days for this year. This was also reflected until, now it says I only have 38 as contingency. Could you please correct this?;HR Operations Task: check mismatch annual leave days
 I seem to have changed my “Abrechnungsmodus“ by accident and can now only enter approximate working hours in chronos.  change that back or do i have to wait another six months?  ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo,  ich habe versehentlich in Chronos von Zeiterfassung auf Dokumentation gewechselt. Das Wechseldatum ist laut Chronos der Da dies ein versehen meinerseits war, habe ich den Antrag direkt wieder mit “Wechsel Stornieren” storniert. Kurz darauf habe ich eine Mail erhalten, dass der Wechsel zum stattfindet. Für die Stornierung des Antrags habe ich jedoch keine Bestätigung erhalten.  Können sie mit bitte sagen, ob der Antrag auch final storniert wurde oder den Antrag (die Anträge) alle stornieren? ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hi zusammen, ich kann meine Abwesenheiten in Chronos seit einer Woche leider nicht aktualisieren. Ich erhalte die angehängte Fehlermeldung.  ihr das bitte mal checken? ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo,  ich erhalte seit zwei Tagen immer eine Meldung, dass mein Gleitzeitlimit erreicht sei, obwohl ich nicht mein Limit erreicht habe. Ich kann somit meine Zeitangaben nicht korrekt eingeben. Bitte um schnelle Unterstützung, da ich die Daten vor Ende Juni noch eingeben muss, bevor das Zeitfenster geschlossen wird.  ;Hi, das ist so gesehen kein Fehler von Chronos, sondern bedeutet lediglich, dass du in dem Betrachtungszeitraum insgesamt die 70h Grenze rei�en w�rdest. Z.B. wenn du vor der Gleitzeit nahe an der 70h Obergrenze bist und Chronos daher keine Stundenverteilung in diesem Zeitraum erlaubt. Daher bitte immer zeitnah erfassen.
 Hallo, in  Chronos geht meine Elternzeit nur bis zum In meiner Bestätigung von HR steht allerdings ein anderer Tag (so wie ich das auch beantragt habe). K�nnt ihr den bitte als meinen letzten Tag der Elternzeit hinterlegen? ;"HR Operations Task: needs correction in SAP as ""Elternzeit"" / ""Parental Leave"" is a SAP leading type"
 Hi Team,  ich habe zum meine WAZ von 5 Tagen auf eine 4 Tage Woche geändert. Somit ändert sich auch mein Urlaubsanspruch. Wenn ich richtig informiert bin, sind das 2 Tage / Monat. Da ich meinen Urlaubsanspruch  bereits in meinem Urlaub abgegolten habe, müsste  die verbleibenden Tage Urlaubsanspruch ab anzeigen. Dies ist leider nicht der Fall, sondern nur Tage. Sollte ich richtig informiert sein, bitte ich hiermit um Korrektur;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Hi, ich bräuchte bei folgenden Einträgen Unterstützung:  “Dienstreise Ausland”: Bezieht sich die Zeitangabe auf die Reisezeit für den jeweiligen Reisetag? Wie kann ich den Eintrag “Dienstreise Ausland” löschen? Hinweis, falls ihr Einsicht habt: Eintrag vom ist falsch Wie kann für den gleichen Tag “Office” Arbeitsstunden und “Dienstreise” Zeiten festhalten?   ;HR Operations Task: manual override
 Das Problem bezieht sich auf die Anzeige meiner Urlaubstage in . Für den Zeitraum bis habe ich insgesamt Urlaubstage laut meinem Vertrag. Davon habe ich bereits Tage genommen, also müsste ich noch Tage übrig haben. In  wird jedoch angezeigt, dass ich Tage genommen habe und nur noch Tage übrig habe.  ;HR Operations Task: check mismatch annual leave days
 Hallo zusammen,  leider ist mir ein kleiner Fehler unterlaufen. Ich habe im  eine Krankmeldung dokumentieren wollen und dachte mir, dass ich dafür den Modus Dokumentation benötige.  war das aber der falsche Modus – ich benötige laut meinen Kollegen den Modus Zeiterfassung. Leider kann ich den Modus laut  erst in 6 Monaten ändern (siehe folgenden Screenshot). Bei dem Modus Dokumentation kann ich leider keine Stunden eintragen, was tatsächlich ein Problem darstellt.  dabei behilflich sein, meinen Fehler wieder zu korrigieren und den Modus in  auf Zeiterfassung zu stellen? ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
" Hi, wegen der kurzfristigen Aktivitäten musste ich aus dem Urlaub für einen Tag meinen Urlaub unterbrechen. Ich möchte daher rückwirkend zumindest den  2024 in ""Mobile Arbeit im Ausland"" umwidmen. Die Voraussetzungen habe ich erf�llt (<20 Tage etc.), aber natürlich nicht beantragt gehabt. Könnt Ihr das bitte für mich vornehmen? In  konnte ich das nicht selber tun. ";"Please cancel your planned annual leave days by navigating to the ""request"" / ""Antr�ge"" tab and create a new request for annual leave."
 Hi,  I accidently changed the Chronos mode to Documentation according to my email I got: , You’ve decided for a switch from Time Recording to Documentation at 1. The implementation of the switch will be effective as of . Please note that the next switch can take place earliest after 6 months in the new mode. Further i nformation regarding working time can be found at CARIDIAN Intranet. Your HR Team Can you undo this for me please? This is a mistake from my side. Thank you. ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hi Zusammen,  ich habe Überstunden wegen einer Erprobung beantragt. Ich habe am Sonntag gearbeitet und möchte die 10h über die Mehrarbeit laufen lassen, da ansonsten mein Stundenkonto über 70 geht - das ist allerdings in  nicht möglich. Ist das so gewollt oder ein Toolproblem? (Auch wenn ich anstatt “Erprobung” “Dienstreise Ausland” im  Sonntags schreiben möchte, ist das nicht über die Mehrarbeit möglich) Falls das wirklich so gewollt ist, wäre es möglich 10 Mehrarbeitsstunden von Juli in den Juni zu übertragen?  ;HR Operations Task: manual override
 Guten Morgen liebes HR-Team, in den Vorgängen wurde  meine Zahl an verfügbaren Urlaubstagen für dieses Jahr auf Tage korrigiert. Hintergrund ist, dass ich erst Anfang Februar eingestiegen bin. Ich habe vorhin in  festgestellt, dass meine insgesamt verfügbaren Urlaubstage wieder auf 30 angehoben wurden. Ich möchte mich nicht beklagen, aber habe das Gefühl, dass das mir gar nicht zusteht und hier ein Fehler gemacht wurde.  Könnt ihr mich über diese Umstellung aufklären? ;HR Operations Task: check mismatch annual leave days
 Hello HR,  I have a problem when transfering my working hours to Chronos for .  In  ended up having +70h extra hours in my account and in  I managed to balance the hours and I worked an average of 7h per day. Nevertheless, when I enter this information in Chronos, I end up having n in my account, when I should have +70h.  Could you please take a look and find the root cause for this?  ;Hi, das ist so gesehen kein Fehler von Chronos, sondern bedeutet lediglich, dass du in dem Betrachtungszeitraum insgesamt die 70h Grenze rei�en w�rdest. Z.B. wenn du vor der Gleitzeit nahe an der 70h Obergrenze bist und Chronos daher keine Stundenverteilung in diesem Zeitraum erlaubt. Daher bitte immer zeitnah erfassen.
 Hi, since I have reduced weekly working hours from 40h to 35h. Please reduce regular working hours in CHRONOS to 35h reactive starting from .  ;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Hallo zusammen, gibt es gerade eine Störung? Auf meinem Gleitzeitkonto fehlen Überstunden, die ich Anfang der Woche noch hatte. Ich habe keine Überstunden abgebaut und auch keine Gleitzeit beantragt. ;HR Operations Task: check flexitime balance
 Hi,  ich hatte vor zwei Tagen meine Überstunden gecheckt und die waren bei ca. Da bin ich mir auch sehr sicher. Denn ich wollte prüfen ob meine Überstunden durch 7 teilbar sind, damit ich weiß, wie lange ich nehmen kann. Ich plane nämlich einen Urlaub.  Heute sind es aber nur noch ca.h.  Was ist da passiert? ich habe keine GZA genommen oder beantragt in der Zwischenzeit?  irgendwann?  wurde verspätet etwas abgebucht?  Ich kann mir das nicht erklären.     ;HR Operations Task: check flexitime balance
 Laut meiner Berechnung müsste ich als Übertag vom letzten Jahr 10 Tage bekommen. Leider sind in  nur Tage dargestellt.  ;HR Operations Task: check mismatch annual leave days
  , i have 10 remaining days left from last year. Those are still not shown. ;HR Operations Task: check mismatch annual leave days
 Hallo zusammen,  bei dem Mitarbeiterist der Gleitzeitstand nach Elternzeit falsch. Könnt ihr das bitte checken? Er hatte zum Stichtag  einen Stand von Stunden. ;HR Operations Task: check flexitime balance
